stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8238,133,Biqueira,,41.2840858890996,-8.57723613941635,,,,
8239,133,Pereiró,,41.2837573201365,-8.57434421289379,,,,
8240,134,Igreja S. Romão,,41.2835287015835,-8.56675888384479,,,,
8241,135,Mamoa,,41.2830941507143,-8.56453409362628,,,,
8242,136,Cegonheira,,41.2808750062154,-8.55949246284559,,,,
8243,137,Seixal,,41.2792277277617,-8.5547225206485,,,,
8244,138,Estação S. Romão,,41.2794127140372,-8.55274721404806,,,,
8245,139,TV Fonte Leite,,41.276385809922,-8.54706560456025,,,,
8246,140,Tv Horizonte,,41.2750714154471,-8.54277299308767,,,,
8247,141,Horixonte,,41.2731479921066,-8.53897826240092,,,,
8248,142,Camposa,,41.2708807365186,-8.53438485809543,,,,
8249,659,TV Sidónio Pais,,41.2294251506474,-8.58815890304444,,,,
8250,660,Agra (Milheirós),,41.2139912471194,-8.59466883219713,,,,
8251,661,Matadouro,,41.2161207354053,-8.59705193887401,,,,
8252,662,Flores,,41.2172745856786,-8.59904631944476,,,,
8253,663,Igreja Gueifães,,41.2180449781604,-8.60281299097409,,,,
8254,664,Padre Américo,,41.2196063196998,-8.60407017111523,,,,
8255,665,Manuel Ferreira Pinto,,41.2222560421096,-8.60364415802739,,,,
8256,666,Penedos,,41.2238244064115,-8.60475148123756,,,,
8257,667,Mogos,,41.2265703907195,-8.6047621764934,,,,
8258,668,Francisco Coelho,,41.2283157439341,-8.6085848446137,,,,
8259,669,Maninhos,,41.2296157959367,-8.61069989615287,,,,
8260,670,Fernando Pessoa,,41.230283760392,-8.61272752785244,,,,
8261,671,Santo António,,41.2290745450082,-8.61412951834686,,,,
8262,672,Lavrador,,41.2260062536479,-8.61555603289468,,,,
8263,673,Santos Leite,,41.2272443364524,-8.61845881913632,,,,
8264,674,Igreja Maia,,41.2302120259167,-8.62091535448591,,,,
8265,884,Bairro Siderurgia,,41.2453592454508,-8.6184264738869,,,,
8266,527,José Régio,,41.2439384776916,-8.61709476747055,,,,
8267,527,Raposeira,,41.244163533508,-8.61342927325339,,,,
8268,528,Junta de Freguesia Barca,,41.2458288939655,-8.61119805951206,,,,
8269,533,Gestalinho,,41.2470342306823,-8.60742921229572,,,,
8270,534,Alambique,,41.2486810376065,-8.60844136389307,,,,
8271,0,Bela Vista,,41.2511741602865,-8.60944022185997,,,,
8272,886,Aurélio Silva,,41.254969494553,-8.60852602207481,,,,
8273,381,E B 2/3 Castelo,,41.2588427237,-8.61297438025697,,,,
8274,538,Centro Saude,,41.2594966053711,-8.61440453959126,,,,
8275,380,Secundária Castelo,,41.2584419984322,-8.60995818633973,,,,
8276,381,E B 2/3 CAstelo da Maia,,41.2583297369037,-8.61234188895415,,,,
8277,887,Agra (Castelo),,41.2548107761863,-8.60889899388621,,,,
8278,520,Bela Vista,,41.251476805286,-8.6093880388877,,,,
8279,521,Alambique,,41.2485883303811,-8.60833229804708,,,,
8280,522,Getsalinho,,41.2469414320934,-8.60737859568643,,,,
8281,529,Junta Freguesia Barca,,41.245823671827,-8.61120221354899,,,,
8282,841,Raposeira,,41.2441643791907,-8.6134353619845,,,,
8283,840,José Régio,,41.2439237667819,-8.61710330940784,,,,
8284,885,Bairro Siderurgia,,41.2453581635111,-8.61841793873997,,,,
8285,386,Pinta,,41.2420568772654,-8.62101938073491,,,,
8286,387,Altino Coelho,,41.2393191664006,-8.62151363617152,,,,
8287,835,Ferreira da Cruz,,41.2376445197365,-8.62503099491558,,,,
8288,836,Forum Maia,,41.2338730769758,-8.62395374760349,,,,
8289,282,Maia - Câmara Municipal,,41.2327160840498,-8.62234259765595,,,,
8290,888,Luis de Camões,,41.2332788126106,-8.61882877115003,,,,
8291,842,Lage,,41.2302653560366,-8.61946846313524,,,,
8292,843,Vasco da Gama,,41.2285325134537,-8.61802192765977,,,,
8293,844,Tv Augusto Simões,,41.2263671977934,-8.61617026713497,,,,
8294,677,Santo António,,41.2291188841083,-8.61411701646344,,,,
8295,678,Fernando Pessoa,,41.2302798953128,-8.61271979785553,,,,
8296,679,Maninhos,,41.2296163361292,-8.61069665491442,,,,
8297,680,Francisco Coelho,,41.2282927839141,-8.60857934399919,,,,
8298,681,Mogos,,41.226490963217,-8.60473239193242,,,,
8299,682,Penedos,,41.2238658054588,-8.6047455667215,,,,
8300,683,Manuel Ferreira Pinto,,41.2222284954782,-8.60364587993166,,,,
8301,684,Padre Américo,,41.2195315926048,-8.60410950189187,,,,
8302,685,Igreja Gueifães,,41.2180486567736,-8.60277758188989,,,,
8303,686,Flores,,41.217279614379,-8.59886776262937,,,,
8304,687,Matadouro,,41.2160473662955,-8.59700230759623,,,,
8305,688,Agra (Milheiros),,41.2139885096622,-8.59466631377533,,,,
8306,143,Fonte Leite,,41.2756309335199,-8.54227273719001,,,,
8307,144,Carvoeiras,,41.2780708605783,-8.54298551358539,,,,
8308,145,Outeiral,,41.2853974992551,-8.54440362999704,,,,
8309,146,Carreira,,41.2877109018079,-8.54385357709902,,,,
8310,147,Castanhal,,41.2900684473958,-8.54324157066252,,,,
8311,148,Vale Igreja,,41.292951124433,-8.54213666891214,,,,
8312,149,R. de Cima,,41.295578897927,-8.53951507004095,,,,
8313,150,Central,,41.296943496012,-8.53718914936493,,,,
8314,151,S. Gonçalo,,41.2973679519243,-8.53744999966828,,,,
8315,152,Pedaços,,41.298916748499,-8.54227242654103,,,,
8316,153,Av 1º de Maio,,41.2997113915798,-8.54555460692997,,,,
8317,154,Cruz,,41.3014006933829,-8.54860133594908,,,,
8318,155,Bela Vista,,41.3034015822585,-8.54764972055374,,,,
8319,156,Souto,,41.3118925166975,-8.54622569186831,,,,
8320,157,Lemende,,41.3139524761033,-8.54732850474516,,,,
8321,158,Pero Pinheiro,,41.3171176891462,-8.55068278890206,,,,
8322,159,Tv Liberdade,,41.3208697434631,-8.55327784687385,,,,
8323,160,Colmeias,,41.3237389428844,-8.55395024140057,,,,
8324,161,Mosteiro Beneditino,,41.3253510754174,-8.55495688754483,,,,
8325,162,Santa Barbara,,41.3273245646617,-8.55507610301694,,,,
8326,163,Vitorino,,41.3308488729938,-8.55635404071463,,,,
8327,164,Dr. Lima Carneiro,,41.3362113909475,-8.5577111491289,,,,
8328,165,Vitorino,,41.3308491739186,-8.55635431154376,,,,
8329,166,Santa Barbara,,41.3273607316343,-8.55507981934231,,,,
8330,167,Mosteiro Beneditino,,41.3253686835132,-8.55496422409137,,,,
8331,168,Colmeias,,41.3237371456729,-8.55395114002541,,,,
8332,169,Tv Liberdade,,41.3208703523776,-8.55327820597305,,,,
8333,170,Pero Pinheiro,,41.3170902514856,-8.55056912132474,,,,
8334,171,Lemende,,41.3139748772991,-8.5473389901353,,,,
8335,172,Souto,,41.3119236107625,-8.54624123853817,,,,
8336,173,Bela Vista,,41.303385209493,-8.54766200029437,,,,
8337,174,Cruz,,41.3014061332356,-8.54861112755677,,,,
8338,175,1º de Maio,,41.2997095183122,-8.54554289932554,,,,
8339,176,Pedaços,,41.2989123355658,-8.54225918801524,,,,
8340,177,S. Gonçalo,,41.2973674482066,-8.53744009395284,,,,
8341,178,Central,,41.2969442267222,-8.53718830903185,,,,
8342,179,R  de Cima,,41.2955676451563,-8.53952069654295,,,,
8343,180,Vale Igreja,,41.2929295221322,-8.54214007998502,,,,
8344,181,Castanhal,,41.2900456591087,-8.54332288518921,,,,
8345,182,Carreira,,41.2876904223659,-8.54385903847017,,,,
8346,183,Outeiral,,41.285352004016,-8.54441237949163,,,,
8347,184,Carvoeiras,,41.2779866884065,-8.54294666586178,,,,
8348,185,Fonte Leite,,41.2759125560085,-8.5420798317364,,,,
8349,186,Dr. Délio Santarém,,41.2806599591853,-8.55432638244673,,,,
8350,187,São Bartolomeu,,41.2826421981865,-8.55742406866417,,,,
8351,188,Progitela,,41.2862619209272,-8.56126857790952,,,,
8352,189,Largo Seixinho,,41.2884965485626,-8.56296603945021,,,,
8353,190,Humberto Delgado,,41.2900506390597,-8.56231067404211,,,,
8354,191,Seixinho,,41.2941079200291,-8.56342549247781,,,,
8355,192,Seixinho,,41.2941059582499,-8.56342535236805,,,,
8356,193,Humberto Delgado,,41.2900466559538,-8.56231366142517,,,,
8357,194,Largo Seicinho,,41.2884824448565,-8.56296110329003,,,,
8358,195,Profitela,,41.2862456552463,-8.56125356360551,,,,
8359,196,São Bartolomeu,,41.2826262455175,-8.55741110732649,,,,
8360,197,Dr. Délio Santarém,,41.2806470021087,-8.5543116258919,,,,
8361,396,Fonte Cova,,41.256123256696,-8.61629811042189,,,,
8362,397,Campo de Futebol,,41.2588619455323,-8.61613982665164,,,,
8363,539,Estação Castelo da Maia,,41.2619085951797,-8.61606569722386,,,,
8364,540,Quinta Amarela,,41.2627266927963,-8.61573499376045,,,,
8365,541,5 de Outubro,,41.2653117004498,-8.61329403839481,,,,
8366,698,Mercado Castêlo,,41.2670579510953,-8.61242378363406,,,,
8367,699,Ismai,,41.2677349018135,-8.61688519066178,,,,
8368,707,Bairro,,41.2655486554062,-8.62325104490218,,,,
8369,845,Cruzeiro Ante,,41.2662351689507,-8.62863113353449,,,,
8370,198,Estação S. Romão,,41.2790165869756,-8.55348628640408,,,,
8371,488,Agua Levada,,41.2699787020421,-8.57537652342244,,,,
8372,489,Jorge de Sena,,41.2690909403604,-8.57785893949013,,,,
8373,490,Portela,,41.2701340123175,-8.58116406948663,,,,
8374,491,Cidadelha,,41.2712877295338,-8.58361444521208,,,,
8375,492,Tv. Ponte,,41.2728690591065,-8.58707995905127,,,,
8376,493,Monte,,41.2728716933801,-8.59000160739634,,,,
8377,494,Central Cidadelha,,41.2714837181808,-8.59287444549462,,,,
8378,495,Pisco,,41.270244830583,-8.59575563142221,,,,
8379,496,S. José,,41.2708248609829,-8.60014816747072,,,,
8380,504,Mário Clemente,,41.2725854455251,-8.60006617729838,,,,
8381,505,Senhora da Agonia,,41.2751070650256,-8.60274988316717,,,,
8382,506,Santo António,,41.276598802266,-8.60720409387744,,,,
8383,513,Augusto Nogueira da Silva,,41.2729535353901,-8.60909913101693,,,,
8384,514,Mercado,,41.267679363355,-8.61158322507942,,,,
8385,515,5 de Outubro,,41.2651638869115,-8.61333933444735,,,,
8386,0,Quinta Amarela,,41.2633479151846,-8.61529927745995,,,,
8387,517,Estação Castêlo da Maia,,41.2614118160583,-8.61614079608479,,,,
8388,518,Centro Saude,,41.2595573304556,-8.614402726371,,,,
8389,398,E. B . 2/3 Castelo Maia,,41.2588051942898,-8.6128822639472,,,,
8390,399,Escola Secundária Castelo da Maia,,41.2576829607564,-8.61054345293467,,,,
