id;code;name;description;location;zone_id;station_id
2228;919;Cemitério São Gonçalo, S;Cemitério São Gonçalo, S;POINT(-16.8821429455416 32.6504027479361);0;
168;1266;Caminho dos Tornos, D3A;Caminho dos Tornos, D3A;POINT(-16.9116191864014 32.6749496459961);0;
1317;1246;Caminho Pico Funcho, 1A;Caminho Pico Funcho, 1A;POINT(-16.9493159228775 32.6551248758765);0;
1343;285;Rua da Rochinha;Rua da Rochinha;POINT(-16.9009829196741 32.6519483929789);0;
251;1273;QTA Rocha, T-40 ;QTA Rocha, T-40 ;POINT(-16.879231350783 32.6476068850081);0;
1531;1194;Caminho da Quinta, D3A;Caminho da Quinta, D3A;POINT(-16.9259460903279 32.6615354494832);0;
1557;1196;Caminho da Quinta, D4A;Caminho da Quinta, D4A;POINT(-16.9249679228379 32.661192439196);0;
2181;1104;R Palheiro Ferreiro, D1A;R Palheiro Ferreiro, D1A;POINT(-16.8594086131985 32.6652104880255);0;
2168;1105;Rua da Boa Nova, S;Rua da Boa Nova, S;POINT(-16.8810806274414 32.6582412719727);0;
2154;1108;R Palheiro Ferreiro,LG, D;R Palheiro Ferreiro,LG, D;POINT(-16.8626669996094 32.6649858863751);0;
173;1264;Caminho dos Tornos, D2A;Caminho dos Tornos, D2A;POINT(-16.9133017504602 32.676567906807);0;
2068;1183;Caminho do Terço, D3A;Caminho do Terço, D3A;POINT(-16.8856561702538 32.6632301561919);0;
2092;1185;Rua Clube Choupana, S1A;Rua Clube Choupana, S1A;POINT(-16.8898395892445 32.6637162027292);0;
2089;1189;Rua Clube Choupana, S3A;Rua Clube Choupana, S3A;POINT(-16.8920332540741 32.6642276912947);0;
1758;562;CAM Saltos, D2A;CAM Saltos, D2A;POINT(-16.9174305413851 32.6681602769883);0;
1667;877B;Rua Maravilhas;Rua Maravilhas;POINT(-16.9219966586561 32.6483899788632);0;
2398;743C;Rua QTA Leme, S3A;Rua QTA Leme, S3A;POINT(-16.937240565369 32.6612619912015);0;
2418;748;CAM William Clode, D;CAM William Clode, D;POINT(-16.943154906857 32.6621445615435);0;
2441;1279;CZ CAM Pilar DR Barreto;CZ CAM Pilar DR Barreto;POINT(-16.9350593209315 32.656342650999);0;
1505;177;Ponte Pau;Ponte Pau;POINT(-16.9145333133516 32.655035903722);0;
2459;1288;CAM Ponte, Centro Saúde;CAM Ponte, Centro Saúde;POINT(-16.9363491104621 32.6639010358068);0;
2471;1294;Rua da Pedra Sina;Rua da Pedra Sina;POINT(-16.8885574158198 32.6524668413778);0;
1988;31;Fénix;Fénix;POINT(-16.9109169561627 32.6466807081455);0;
2033;116;Antes Ponte do Galeão;Antes Ponte do Galeão;POINT(-16.931435859111 32.6722131877103);0;
223;310A;CAM Meio, Papagaios, D;CAM Meio, Papagaios, D;POINT(-16.895450592041 32.6611785888672);0;
1084;997;CAM da Igreja, D;CAM da Igreja, D;POINT(-16.9372840265524 32.6648234324093);0;
